,DB,Date,UnitsConsumed
0,DB01 ,1/2/2016,0.83
1,DB01 ,1/3/2016,1.99
2,DB01 ,1/4/2016,1.99
3,DB01 ,1/5/2016,0.2
4,DB01 ,1/6/2016,0.63
5,DB01 ,1/8/2016,0.73
6,DB01 ,1/12/2016,1.03
7,DB01 ,2/2/2016,1.15
8,DB01 ,2/3/2016,1.57
9,DB01 ,2/4/2016,1.87
10,DB01 ,2/5/2016,1.03
11,DB01 ,2/8/2016,0.73
12,DB01 ,2/12/2016,0.06
13,DB01 ,2/13/2016,1.06
14,DB01 ,2/14/2016,0.36
15,DB01 ,2/15/2016,0.49
16,DB01 ,2/16/2016,0.92
17,DB01 ,2/17/2016,0.99
18,DB01 ,2/18/2016,1.03
19,DB01 ,2/19/2016,0.99
20,DB01 ,2/20/2016,1
21,DB01 ,2/21/2016,0.95
22,DB01 ,2/22/2016,0.97
23,DB01 ,2/23/2016,0.97
24,DB01 ,2/24/2016,0.94
25,DB01 ,2/25/2016,1.6
26,DB01 ,2/26/2016,1.76
27,DB01 ,2/27/2016,1.54
28,DB01 ,2/28/2016,2.06
29,DB01 ,2/29/2016,2.11
30,DB01 ,3/2/2016,1.44
31,DB01 ,3/3/2016,2.12
32,DB01 ,3/4/2016,2.01
33,DB01 ,3/5/2016,0.9
34,DB01 ,3/12/2016,0.82
35,DB01 ,3/13/2016,1.66
36,DB01 ,3/14/2016,1.99
37,DB01 ,3/15/2016,1.83
38,DB01 ,3/16/2016,1.82
39,DB01 ,3/17/2016,1.97
40,DB01 ,3/18/2016,2.05
41,DB01 ,3/19/2016,2.01
42,DB01 ,3/20/2016,2.02
43,DB01 ,3/21/2016,2.03
44,DB01 ,3/22/2016,2.21
45,DB01 ,3/23/2016,1.81
46,DB01 ,3/24/2016,2.08
47,DB01 ,3/25/2016,2.17
48,DB01 ,3/26/2016,2.13
49,DB01 ,3/27/2016,1.85
50,DB01 ,3/28/2016,1.89
51,DB01 ,3/29/2016,1.93
52,DB01 ,3/30/2016,2
53,DB01 ,3/31/2016,2.02
54,DB01 ,4/2/2016,1.31
55,DB01 ,4/3/2016,2.19
56,DB01 ,4/4/2016,1.67
57,DB01 ,4/5/2016,1.23
58,DB01 ,4/12/2016,1.19
59,DB01 ,4/13/2016,1.74
60,DB01 ,4/14/2016,1.07
61,DB01 ,4/15/2016,0.7
62,DB01 ,4/16/2016,0.34
63,DB01 ,4/17/2016,0.23
64,DB01 ,4/18/2016,0.21
65,DB01 ,4/19/2016,0.21
66,DB01 ,4/20/2016,0.08
67,DB01 ,4/25/2016,0.11
68,DB01 ,4/26/2016,0.2
69,DB01 ,4/27/2016,0.2
70,DB01 ,4/28/2016,0.19
71,DB01 ,4/29/2016,0.2
72,DB01 ,4/30/2016,0.17
73,DB01 ,5/2/2016,0.96
74,DB01 ,5/3/2016,2.13
75,DB01 ,5/4/2016,1.33
76,DB01 ,5/5/2016,1.05
77,DB01 ,5/12/2016,0.19
78,DB01 ,5/13/2016,0.59
79,DB01 ,5/14/2016,0.63
80,DB01 ,5/15/2016,0.63
81,DB01 ,5/16/2016,0.63
82,DB01 ,5/17/2016,0.61
83,DB01 ,5/18/2016,0.75
84,DB01 ,5/19/2016,0.67
85,DB01 ,5/20/2016,0.9
86,DB01 ,5/21/2016,0.91
87,DB01 ,5/22/2016,1.18
88,DB01 ,5/23/2016,0.95
89,DB01 ,5/24/2016,1.89
90,DB01 ,5/25/2016,1.4
91,DB01 ,5/26/2016,1.17
92,DB01 ,5/27/2016,0.85
93,DB01 ,5/28/2016,0.69
94,DB01 ,5/29/2016,0.73
95,DB01 ,5/30/2016,0.51
96,DB01 ,5/31/2016,0.92
97,DB01 ,6/2/2016,0.95
98,DB01 ,6/3/2016,2.03
99,DB01 ,6/4/2016,1.71
100,DB01 ,6/5/2016,1.22
101,DB01 ,7/2/2016,0.96
102,DB01 ,7/3/2016,2.07
103,DB01 ,7/4/2016,1.2
104,DB01 ,7/5/2016,1.4
105,DB01 ,7/11/2016,0.44
106,DB01 ,7/12/2016,1.21
107,DB01 ,8/2/2016,0.5
108,DB01 ,8/3/2016,2.11
109,DB01 ,8/4/2016,1.27
110,DB01 ,8/5/2016,1
111,DB01 ,8/11/2016,0.34
112,DB01 ,8/12/2016,0.11
113,DB01 ,9/2/2016,0.61
114,DB01 ,9/3/2016,2
115,DB01 ,9/4/2016,1.23
116,DB01 ,9/5/2016,1.43
117,DB01 ,9/11/2016,0.07
118,DB01 ,9/12/2016,1.21
119,DB01 ,10/2/2016,0.98
120,DB01 ,10/3/2016,2.03
121,DB01 ,10/4/2016,1.23
122,DB01 ,10/5/2016,1.57
123,DB01 ,10/12/2016,0.41
124,DB01 ,11/2/2016,0.96
125,DB01 ,11/3/2016,1.99
126,DB01 ,11/4/2016,1.28
127,DB01 ,11/5/2016,0.91
128,DB01 ,11/14/2016,1.31
129,DB01 ,11/15/2016,1.51
130,DB01 ,11/16/2016,1.18
131,DB01 ,11/17/2016,1.25
132,DB01 ,11/18/2016,1.37
133,DB01 ,11/19/2016,1.14
134,DB01 ,11/20/2016,1.16
135,DB01 ,11/21/2016,0.99
136,DB01 ,11/22/2016,0.92
137,DB01 ,11/30/2016,1.22
138,DB01 ,12/2/2016,0.97
139,DB01 ,12/3/2016,1.69
140,DB01 ,12/4/2016,1.38
141,DB01 ,12/5/2016,0.31
142,DB01 ,12/13/2016,0.45
143,DB01 ,12/14/2016,0.81
144,DB01 ,12/15/2016,0.19
145,DB01 ,1/2/2017,0.71
146,DB01 ,1/3/2017,1.47
147,DB01 ,1/4/2017,1.44
148,DB01 ,1/5/2017,1.28
149,DB01 ,1/6/2017,0.33
150,DB01 ,1/7/2017,0.05
151,DB01 ,1/10/2017,0.13
152,DB01 ,1/13/2017,0.85
153,DB01 ,1/14/2017,0.93
154,DB01 ,1/15/2017,0.84
155,DB01 ,1/16/2017,0.89
156,DB01 ,1/17/2017,1.33
157,DB01 ,1/18/2017,0.93
158,DB01 ,1/19/2017,0.69
159,DB01 ,1/20/2017,1.64
160,DB01 ,1/21/2017,0.83
161,DB01 ,1/22/2017,1.15
162,DB01 ,1/23/2017,0.82
163,DB01 ,1/24/2017,0.82
164,DB01 ,1/25/2017,1.09
165,DB01 ,1/26/2017,0.89
166,DB01 ,1/27/2017,0.79
167,DB01 ,1/28/2017,0.8
168,DB01 ,1/29/2017,0.93
169,DB01 ,1/30/2017,0.76
170,DB01 ,1/31/2017,0.72
171,DB01 ,2/2/2017,0.91
172,DB01 ,2/3/2017,1.49
173,DB01 ,2/4/2017,1.16
174,DB01 ,2/5/2017,1.1
175,DB01 ,2/6/2017,0.26
176,DB01 ,2/7/2017,0.04
177,DB01 ,2/9/2017,0.14
178,DB01 ,2/10/2017,0.16
179,DB01 ,2/11/2017,0.02
180,DB01 ,2/13/2017,0.89
181,DB01 ,2/14/2017,0.02
182,DB01 ,2/20/2017,0.5
183,DB01 ,2/21/2017,0.83
184,DB01 ,2/22/2017,1.54
185,DB01 ,2/23/2017,0.69
186,DB01 ,2/24/2017,0.8
187,DB01 ,2/25/2017,0.81
188,DB01 ,2/26/2017,0.88
189,DB01 ,2/27/2017,0.91
190,DB01 ,2/28/2017,1.14
191,DB01 ,3/2/2017,0.62
192,DB01 ,3/3/2017,1.95
193,DB01 ,3/4/2017,1.1
194,DB01 ,3/5/2017,1.21
195,DB01 ,3/6/2017,0.26
196,DB01 ,3/9/2017,0.2
197,DB01 ,3/10/2017,0.17
198,DB01 ,3/11/2017,0.06
199,DB01 ,3/17/2017,0.47
200,DB01 ,3/18/2017,0.71
201,DB01 ,3/19/2017,0.79
202,DB01 ,3/20/2017,1.57
203,DB01 ,3/21/2017,1.42
204,DB01 ,3/22/2017,0.87
205,DB01 ,3/23/2017,0.83
206,DB01 ,3/24/2017,1.42
207,DB01 ,3/25/2017,1.43
208,DB01 ,3/26/2017,1.61
209,DB01 ,3/28/2017,1.39
210,DB01 ,3/29/2017,1.71
211,DB01 ,3/30/2017,1.69
212,DB01 ,3/31/2017,1.58
213,DB01 ,4/2/2017,0.47
214,DB01 ,4/3/2017,1.72
215,DB01 ,4/4/2017,0.94
216,DB01 ,4/5/2017,1.13
217,DB01 ,4/6/2017,0.36
218,DB01 ,4/7/2017,0.07
219,DB01 ,4/9/2017,0.2
220,DB01 ,4/10/2017,0.15
221,DB01 ,4/11/2017,0.05
222,DB01 ,4/13/2017,0.9
223,DB01 ,4/14/2017,0.76
224,DB01 ,4/15/2017,1.12
225,DB01 ,4/16/2017,0.63
226,DB01 ,4/17/2017,1.51
227,DB01 ,4/18/2017,0.95
228,DB01 ,4/19/2017,0.6
229,DB01 ,4/20/2017,0.15
230,DB01 ,4/21/2017,0.15
231,DB01 ,4/22/2017,0.15
232,DB01 ,4/23/2017,0.16
233,DB01 ,4/24/2017,0.14
234,DB01 ,4/25/2017,-23.89
235,DB01 ,4/26/2017,24.55
236,DB01 ,4/27/2017,0.8
237,DB01 ,4/28/2017,1
238,DB01 ,4/29/2017,1.18
239,DB01 ,4/30/2017,1.45
240,DB01 ,5/2/2017,0.85
241,DB01 ,5/3/2017,1.79
242,DB01 ,5/4/2017,1.4
243,DB01 ,5/5/2017,0.68
244,DB01 ,5/6/2017,0.26
245,DB01 ,5/7/2017,0.07
246,DB01 ,5/9/2017,0.21
247,DB01 ,5/10/2017,0.14
248,DB01 ,5/11/2017,0.05
249,DB01 ,5/13/2017,0.14
250,DB01 ,5/14/2017,0.15
