Date,UnitsConsumed
2016-01-02,0.59
2016-02-02,1.05
2016-03-02,0.6000000000000001
2016-04-02,0.46
2016-05-02,0.54
2016-06-02,0.5800000000000001
2016-07-02,0.64
2016-08-02,0.1
2016-09-02,0.47
2016-10-02,0.64
2016-11-02,0.5599999999999999
2016-12-02,0.51
2016-02-13,0.5700000000000001
2016-02-14,0.0
2016-02-15,0.03
2016-02-16,0.37
2016-02-17,0.62
2016-02-18,0.46
2016-02-19,0.66
2016-02-20,0.6699999999999999
2016-02-21,0.66
2016-02-22,0.5499999999999999
2016-02-23,0.82
2016-02-24,1.23
2016-02-25,1.29
2016-02-26,0.8
2016-02-27,1.3199999999999998
2016-02-28,1.19
2016-02-29,1.4300000000000002
2016-01-03,1.1900000000000002
2016-02-03,1.31
2016-03-03,1.2
2016-04-03,1.12
2016-05-03,1.23
2016-06-03,1.3199999999999998
2016-07-03,0.87
2016-08-03,1.1400000000000001
2016-09-03,1.44
2016-10-03,1.1400000000000001
2016-11-03,0.98
2016-12-03,1.2
2016-03-13,0.91
2016-03-14,0.9500000000000001
2016-03-15,1.17
2016-03-16,1.06
2016-03-17,1.1800000000000002
2016-03-18,1.32
2016-03-19,1.2200000000000002
2016-03-20,0.74
2016-03-21,0.54
2016-03-22,0.49
2016-03-23,0.66
2016-03-24,0.5800000000000001
2016-03-25,0.9100000000000001
2016-03-26,1.0
2016-03-27,1.1300000000000001
2016-03-28,0.81
2016-03-29,0.81
2016-03-30,0.69
2016-03-31,0.8800000000000001
2016-01-04,1.19
2016-02-04,1.69
2016-03-04,1.34
2016-04-04,1.52
2016-05-04,1.11
2016-06-04,1.1600000000000001
2016-07-04,1.38
2016-08-04,1.48
2016-09-04,1.31
2016-10-04,1.49
2016-11-04,1.5
2016-12-04,1.17
2016-04-13,1.48
2016-04-14,2.71
2016-04-15,1.75
2016-04-16,1.7200000000000002
2016-04-17,1.9300000000000002
2016-04-18,1.82
2016-04-19,1.61
2016-04-20,0.68
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.79
2016-04-26,1.7000000000000002
2016-04-27,1.9300000000000002
2016-04-28,1.94
