Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,13,613,0.15000000000000002,0.02,0.0,02 to 03,0.0062499999999999995,0.0076966960726523835,Saturday
2016-02-02,12,613,0.16,0.02,0.0,03 to 04,0.006666666666666667,0.007613869876268811,Tuesday
2016-03-02,12,613,0.19,0.02,0.0,01 to 02,0.007916666666666667,0.008836272412331321,Wednesday
2016-04-02,12,613,0.17,0.02,0.0,01 to 02,0.007083333333333333,0.008064504441319252,Saturday
2016-05-02,12,613,0.17,0.02,0.0,01 to 02,0.007083333333333333,0.008064504441319252,Monday
2016-06-02,12,613,0.16,0.02,0.0,01 to 02,0.006666666666666667,0.0076138698762688115,Thursday
2016-07-02,12,613,0.16,0.02,0.0,02 to 03,0.006666666666666667,0.007613869876268811,Saturday
2016-08-02,13,613,0.14,0.02,0.0,03 to 04,0.005833333333333333,0.007172815023567724,Tuesday
2016-09-02,13,613,0.15000000000000002,0.02,0.0,01 to 02,0.0062499999999999995,0.0076966960726523835,Friday
2016-10-02,12,613,0.16999999999999998,0.02,0.0,01 to 02,0.007083333333333333,0.008064504441319252,Sunday
2016-11-02,12,613,0.18,0.02,0.0,02 to 03,0.0075,0.0084698955385992,Wednesday
2016-12-02,12,613,0.17,0.02,0.0,00 to 01,0.007083333333333333,0.008064504441319252,Friday
2016-02-13,12,613,0.2,0.02,0.0,00 to 01,0.008333333333333333,0.009168313422570847,Saturday
2016-02-14,19,613,0.07,0.02,0.0,02 to 03,0.002916666666666667,0.00624093545570845,Sunday
2016-02-15,17,613,0.12000000000000001,0.02,0.0,17 to 18,0.005,0.008340576562282992,Monday
2016-02-16,12,613,0.16999999999999998,0.02,0.0,01 to 02,0.007083333333333333,0.008064504441319252,Tuesday
2016-02-17,12,613,0.17,0.02,0.0,02 to 03,0.007083333333333334,0.008064504441319252,Wednesday
2016-02-18,13,613,0.15000000000000002,0.03,0.0,04 to 05,0.0062499999999999995,0.008242255917447339,Thursday
2016-02-19,12,613,0.17,0.02,0.0,02 to 03,0.007083333333333333,0.008064504441319252,Friday
2016-02-20,12,613,0.17,0.02,0.0,01 to 02,0.007083333333333334,0.008064504441319252,Saturday
2016-02-21,12,613,0.16,0.02,0.0,03 to 04,0.006666666666666667,0.0076138698762688115,Sunday
2016-02-22,12,613,0.18,0.02,0.0,02 to 03,0.0075,0.008469895538599198,Monday
2016-02-23,12,613,0.17,0.02,0.0,02 to 03,0.007083333333333333,0.008064504441319252,Tuesday
2016-02-24,12,613,0.16999999999999998,0.02,0.0,01 to 02,0.007083333333333333,0.008064504441319252,Wednesday
2016-02-25,13,613,0.16,0.02,0.0,01 to 02,0.006666666666666665,0.00816496580927726,Thursday
2016-02-26,12,613,0.19,0.02,0.0,01 to 02,0.007916666666666666,0.008836272412331318,Friday
2016-02-27,19,613,0.06999999999999999,0.02,0.0,01 to 02,0.0029166666666666664,0.00624093545570845,Saturday
2016-02-28,19,613,0.06999999999999999,0.02,0.0,20 to 21,0.0029166666666666664,0.00624093545570845,Sunday
2016-02-29,12,613,0.19,0.02,0.0,01 to 02,0.007916666666666667,0.00883627241233132,Monday
2016-01-03,12,613,0.16999999999999998,0.02,0.0,02 to 03,0.007083333333333333,0.008064504441319252,Sunday
2016-02-03,15,613,0.13,0.02,0.0,01 to 02,0.005416666666666667,0.0077902763620491325,Wednesday
2016-03-03,20,613,0.12,0.08,0.0,07 to 08,0.005,0.01668115312456598,Thursday
2016-04-03,16,613,0.24000000000000002,0.15,0.0,12 to 13,0.01,0.03050302907267892,Sunday
2016-05-03,15,613,0.13,0.02,0.0,00 to 01,0.005416666666666666,0.007790276362049131,Tuesday
2016-06-03,11,613,0.16999999999999998,0.02,0.0,01 to 02,0.007083333333333334,0.007506036218280919,Friday
2016-07-03,18,613,0.08,0.02,0.0,01 to 02,0.0033333333333333335,0.006370220572706063,Sunday
2016-08-03,13,613,0.15000000000000002,0.02,0.0,03 to 04,0.0062499999999999995,0.007696696072652383,Wednesday
2016-09-03,12,613,0.21000000000000002,0.03,0.0,22 to 23,0.008749999999999999,0.009918143234365557,Saturday
2016-10-03,12,613,0.25,0.03,0.0,03 to 04,0.010416666666666666,0.011601786469133207,Monday
2016-11-03,13,613,0.22999999999999998,0.03,0.0,03 to 04,0.009583333333333333,0.011601786469133204,Thursday
2016-12-03,13,613,0.24,0.03,0.0,03 to 04,0.009999999999999998,0.011795356492391773,Saturday
2016-03-13,13,613,0.25,0.03,0.0,03 to 04,0.010416666666666666,0.01197067673313733,Sunday
2016-03-14,14,613,0.21000000000000002,0.03,0.0,02 to 03,0.008749999999999999,0.011156008324626262,Monday
2016-03-15,13,613,0.24,0.03,0.0,03 to 04,0.009999999999999998,0.011795356492391773,Tuesday
2016-03-16,12,613,0.27,0.03,0.0,01 to 02,0.011249999999999998,0.012269616060043185,Wednesday
2016-03-17,12,613,0.25,0.03,0.0,02 to 03,0.010416666666666666,0.011601786469133207,Thursday
2016-03-18,12,613,0.25,0.03,0.0,01 to 02,0.010416666666666666,0.01197067673313733,Friday
2016-03-19,13,613,0.24,0.03,0.0,02 to 03,0.01,0.01179535649239177,Saturday
2016-03-20,13,613,0.24,0.03,0.0,01 to 02,0.009999999999999998,0.012158375177486578,Sunday
2016-03-21,13,613,0.24000000000000002,0.03,0.0,03 to 04,0.009999999999999998,0.011795356492391773,Monday
2016-03-22,12,613,0.25,0.03,0.0,02 to 03,0.010416666666666666,0.01197067673313733,Tuesday
2016-03-23,13,613,0.2,0.03,0.0,01 to 02,0.008333333333333333,0.010494995356656043,Wednesday
2016-03-24,12,613,0.21000000000000002,0.03,0.0,20 to 21,0.008749999999999999,0.010347232354175891,Thursday
2016-03-25,13,613,0.23,0.03,0.0,01 to 02,0.009583333333333333,0.011601786469133204,Friday
2016-03-26,11,613,0.25,0.03,0.0,20 to 21,0.010416666666666666,0.010826363421183323,Saturday
2016-03-27,12,613,0.27,0.03,0.0,01 to 02,0.011249999999999998,0.012269616060043185,Sunday
