Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek
2016-01-02,10,481,1.42,0.16,0.0,18 to 19,0.05916666666666667,0.061989947759200484,Saturday
2016-02-02,12,481,1.4500000000000002,0.16,0.0,01 to 02,0.06041666666666665,0.06778990348490516,Tuesday
2016-03-02,13,481,1.49,0.16,0.0,02 to 03,0.062083333333333324,0.07015381651068239,Wednesday
2016-04-02,12,481,1.51,0.17,0.0,23 to 24,0.06291666666666666,0.069186525872592,Saturday
2016-05-02,12,481,1.45,0.16,0.0,02 to 03,0.06041666666666665,0.06842826562343872,Monday
2016-06-02,13,481,1.49,0.16,0.0,02 to 03,0.06208333333333333,0.07015381651068239,Thursday
2016-07-02,11,481,1.5,0.16,0.0,01 to 02,0.06249999999999999,0.06892024376045111,Saturday
2016-08-02,18,481,0.6699999999999999,0.17,0.0,01 to 02,0.02791666666666667,0.05571504883482259,Tuesday
2016-09-02,18,481,0.8,0.16,0.0,20 to 21,0.03333333333333333,0.05975796593554389,Friday
2016-10-02,12,481,1.45,0.16,0.0,03 to 04,0.06041666666666667,0.06623273633422402,Sunday
2016-11-02,12,481,1.5300000000000002,0.17,0.0,20 to 21,0.06374999999999999,0.07143330729641705,Wednesday
2016-12-02,12,481,1.58,0.17,0.0,01 to 02,0.06583333333333334,0.07430352947709565,Friday
2016-02-13,12,481,1.54,0.17,0.0,02 to 03,0.06416666666666666,0.0728856559316009,Saturday
2016-02-14,18,481,0.7300000000000001,0.17,0.0,02 to 03,0.03041666666666667,0.05744404965337757,Sunday
2016-02-15,18,481,0.8500000000000001,0.17,0.0,19 to 20,0.03541666666666667,0.06351851265005631,Monday
2016-02-16,12,481,1.57,0.17,0.0,02 to 03,0.06541666666666666,0.07312759347562474,Tuesday
2016-02-17,12,481,1.51,0.17,0.0,21 to 22,0.06291666666666666,0.06906072732002622,Wednesday
2016-02-18,12,481,1.4700000000000002,0.17,0.0,01 to 02,0.06124999999999999,0.06879790820884778,Thursday
2016-02-19,12,481,1.5,0.17,0.0,22 to 23,0.0625,0.06777520387921798,Friday
2016-02-20,12,481,1.53,0.17,0.0,01 to 02,0.06375,0.0715549348099219,Saturday
2016-02-21,12,481,1.4900000000000002,0.17,0.0,04 to 05,0.062083333333333345,0.07009181349373533,Sunday
2016-02-22,13,481,1.54,0.17,0.0,04 to 05,0.06416666666666666,0.0725268565948934,Monday
2016-02-23,12,481,1.58,0.17,0.0,01 to 02,0.06583333333333334,0.07312387742232603,Tuesday
2016-02-24,12,481,1.53,0.17,0.0,01 to 02,0.06374999999999999,0.07191858319444044,Wednesday
2016-02-25,12,481,1.59,0.17,0.0,02 to 03,0.06624999999999999,0.07406298729430594,Thursday
2016-02-26,12,481,1.55,0.17,0.0,01 to 02,0.06458333333333333,0.07217003874707026,Friday
2016-02-27,12,481,1.4100000000000001,0.17,0.0,02 to 03,0.058750000000000004,0.0672640804719661,Saturday
2016-02-28,13,481,1.38,0.15,0.0,02 to 03,0.0575,0.06515866921533191,Sunday
2016-02-29,12,481,1.38,0.15,0.0,01 to 02,0.057499999999999996,0.06387828099290631,Monday
2016-01-03,12,481,1.3399999999999999,0.15,0.0,01 to 02,0.05583333333333334,0.06289512780374387,Sunday
2016-02-03,12,481,1.38,0.15,0.0,02 to 03,0.0575,0.06442049363362562,Wednesday
2016-03-03,12,481,1.44,0.17,0.0,22 to 23,0.06,0.066332495807108,Thursday
2016-04-03,12,481,1.52,0.17,0.0,01 to 02,0.06333333333333334,0.07062864714194553,Sunday
2016-05-03,12,481,1.57,0.17,0.0,02 to 03,0.06541666666666666,0.07336502938206926,Tuesday
2016-06-03,12,481,1.54,0.17,0.0,03 to 04,0.06416666666666666,0.06983936019097009,Friday
2016-07-03,12,481,1.5900000000000003,0.17,0.0,02 to 03,0.06624999999999999,0.07173698942786709,Sunday
2016-08-03,12,481,1.56,0.17,0.0,01 to 02,0.065,0.07360292999838952,Wednesday
2016-09-03,12,481,1.51,0.17,0.0,02 to 03,0.06291666666666668,0.07177738330158873,Saturday
2016-10-03,12,481,1.56,0.17,0.0,19 to 20,0.065,0.07101745039685364,Monday
2016-11-03,12,481,1.54,0.17,0.0,02 to 03,0.06416666666666666,0.0738339303800246,Thursday
2016-12-03,12,481,1.5700000000000003,0.17,0.0,02 to 03,0.06541666666666666,0.07459917045037472,Saturday
2016-03-13,12,481,1.57,0.17,0.0,01 to 02,0.06541666666666666,0.0740727707212228,Sunday
2016-03-14,12,481,1.56,0.17,0.0,01 to 02,0.06499999999999999,0.07271146073171086,Monday
2016-03-15,12,481,1.5500000000000003,0.17,0.0,02 to 03,0.06458333333333333,0.07300858595527245,Tuesday
2016-03-16,12,481,1.5900000000000003,0.17,0.0,02 to 03,0.06624999999999999,0.07406298729430594,Wednesday
2016-03-17,12,481,1.59,0.17,0.0,02 to 03,0.06624999999999999,0.07406298729430594,Thursday
2016-03-18,12,481,1.56,0.17,0.0,03 to 04,0.065,0.07113978890337948,Friday
2016-03-19,12,481,1.58,0.17,0.0,01 to 02,0.06583333333333334,0.07371606318174141,Saturday
2016-03-20,12,481,1.52,0.17,0.0,01 to 02,0.06333333333333334,0.07124157717822213,Sunday
2016-03-21,13,481,1.55,0.17,0.0,04 to 05,0.06458333333333333,0.07312759347562472,Monday
2016-03-22,12,481,1.54,0.17,0.0,21 to 22,0.06416666666666666,0.07119579046341255,Tuesday
2016-03-23,12,481,1.53,0.17,0.0,01 to 02,0.06375000000000001,0.07191858319444046,Wednesday
2016-03-24,12,481,1.54,0.17,0.0,20 to 21,0.06416666666666666,0.07180387943174989,Thursday
2016-03-25,12,481,1.6,0.17,0.0,03 to 04,0.06666666666666665,0.07275131354957386,Friday
2016-03-26,12,481,1.53,0.17,0.0,01 to 02,0.06374999999999999,0.07191858319444044,Saturday
2016-03-27,12,481,1.6,0.17,0.0,02 to 03,0.06666666666666665,0.0744058592051592,Sunday
2016-03-28,12,481,1.6,0.17,0.0,03 to 04,0.06666666666666665,0.072090924874601,Monday
2016-03-29,12,481,1.5500000000000003,0.17,0.0,01 to 02,0.06458333333333333,0.07259052319670257,Tuesday
2016-03-30,13,481,1.59,0.17,0.0,02 to 03,0.06624999999999999,0.07482225314181198,Wednesday
2016-03-31,12,481,1.6,0.17,0.0,01 to 02,0.06666666666666665,0.07417175523986419,Thursday
2016-01-04,12,481,1.5500000000000003,0.17,0.0,01 to 02,0.06458333333333333,0.07259052319670257,Monday
2016-02-04,13,481,1.6,0.17,0.0,02 to 03,0.06666666666666665,0.07516166151914713,Thursday
2016-03-04,12,481,1.6,0.17,0.0,01 to 02,0.06666666666666665,0.07417175523986419,Friday
2016-04-04,12,481,1.5700000000000003,0.18,0.0,19 to 20,0.06541666666666666,0.07360169933450951,Monday
2016-05-04,13,481,1.59,0.17,0.0,02 to 03,0.06624999999999999,0.07476412183021666,Wednesday
2016-06-04,12,481,1.59,0.17,0.0,01 to 02,0.06624999999999999,0.07406298729430594,Saturday
2016-07-04,12,481,1.56,0.17,0.0,01 to 02,0.06499999999999999,0.07295025106491947,Monday
2016-08-04,13,481,1.61,0.18,0.0,20 to 21,0.06708333333333333,0.07578454394828325,Thursday
2016-09-04,12,481,1.59,0.17,0.0,01 to 02,0.06624999999999999,0.07394548520774406,Sunday
2016-10-04,12,481,1.55,0.17,0.0,01 to 02,0.06458333333333333,0.07259052319670257,Tuesday
2016-11-04,12,481,1.6,0.17,0.0,02 to 03,0.06666666666666665,0.0744058592051592,Friday
2016-12-04,12,481,1.6,0.17,0.0,03 to 04,0.06666666666666665,0.07275131354957386,Sunday
2016-04-13,12,481,1.5700000000000003,0.17,0.0,01 to 02,0.06541666666666666,0.07306811394419813,Wednesday
2016-04-14,13,481,1.6,0.17,0.0,02 to 03,0.06666666666666665,0.07516166151914713,Thursday
2016-04-15,12,481,1.6,0.18,0.0,19 to 20,0.06666666666666665,0.07469745741942987,Friday
2016-04-16,18,481,0.7000000000000001,0.17,0.0,02 to 03,0.02916666666666667,0.05874903637815956,Saturday
2016-02-05,18,481,0.8600000000000001,0.17,0.0,20 to 21,0.035833333333333335,0.06412736421045005,Friday
2016-03-05,12,481,1.61,0.17,0.0,03 to 04,0.06708333333333333,0.07256056940159758,Saturday
2016-04-05,12,481,1.56,0.17,0.0,01 to 02,0.06499999999999999,0.07271146073171086,Tuesday
2016-05-05,12,481,1.61,0.17,0.0,02 to 03,0.06708333333333333,0.07480288105743492,Thursday
2016-06-05,12,481,1.61,0.17,0.0,03 to 04,0.06708333333333333,0.07256056940159758,Sunday
2016-07-05,12,481,1.56,0.17,0.0,01 to 02,0.06499999999999999,0.07271146073171086,Tuesday
2016-08-05,13,481,1.59,0.17,0.0,02 to 03,0.06624999999999999,0.07476412183021666,Friday
2016-09-05,12,481,1.59,0.17,0.0,01 to 02,0.06624999999999999,0.07406298729430594,Monday
2016-10-05,12,481,1.5700000000000003,0.18,0.0,19 to 20,0.06541666666666666,0.07336502938206926,Wednesday
2016-11-05,13,481,1.61,0.18,0.0,22 to 23,0.06708333333333333,0.07578454394828325,Saturday
2016-12-05,18,481,0.7200000000000001,0.17,0.0,01 to 02,0.030000000000000002,0.058607018425233436,Monday
2016-05-13,18,481,0.91,0.18,0.0,20 to 21,0.03791666666666667,0.06795005625404248,Friday
2016-05-14,12,481,1.62,0.18,0.0,19 to 20,0.0675,0.07542632454775061,Saturday
2016-05-15,12,481,1.59,0.18,0.0,19 to 20,0.06624999999999999,0.07435593014565878,Sunday
2016-05-16,13,481,1.62,0.18,0.0,20 to 21,0.0675,0.07639997723650924,Monday
2016-05-17,12,481,1.63,0.18,0.0,19 to 20,0.06791666666666667,0.07604227466503015,Tuesday
2016-05-18,12,481,1.48,0.18,0.0,02 to 03,0.06166666666666667,0.07001035120153533,Wednesday
2016-05-19,12,481,1.48,0.16,0.0,02 to 03,0.06166666666666667,0.066507055308419,Thursday
2016-05-20,12,481,1.45,0.16,0.0,21 to 22,0.06041666666666667,0.06675582805800662,Friday
2016-05-21,12,481,1.42,0.15,0.0,01 to 02,0.059166666666666666,0.06573442395544074,Saturday
2016-05-22,12,481,1.41,0.16,0.0,19 to 20,0.058750000000000004,0.06582668284148187,Sunday
2016-05-23,12,481,1.49,0.16,0.0,02 to 03,0.062083333333333324,0.06940612469319646,Monday
2016-05-24,12,481,1.4700000000000002,0.16,0.0,03 to 04,0.06124999999999999,0.06687512698078152,Tuesday
2016-05-25,13,481,1.45,0.29,0.0,21 to 22,0.060416666666666674,0.0777666054777771,Wednesday
2016-05-26,12,481,1.48,0.16,0.0,02 to 03,0.06166666666666667,0.06907253066707217,Thursday
2016-05-27,12,481,1.47,0.16,0.0,03 to 04,0.06124999999999999,0.06667979943111642,Friday
2016-05-28,12,481,1.44,0.16,0.0,04 to 05,0.06,0.06717918932423099,Saturday
2016-05-29,13,481,1.46,0.16,0.0,04 to 05,0.06083333333333333,0.06883607918164317,Sunday
2016-05-30,12,481,1.47,0.16,0.0,03 to 04,0.06124999999999999,0.06809919235938118,Monday
2016-05-31,12,481,1.4300000000000002,0.16,0.0,04 to 05,0.05958333333333332,0.06746845747179335,Tuesday
2016-01-06,19,481,0.67,0.16,0.0,02 to 03,0.02791666666666667,0.05649002733585633,Wednesday
2016-01-08,19,481,0.08,0.02,0.0,20 to 21,0.0033333333333333335,0.007019641181630339,Friday
2016-02-08,18,481,0.09,0.02,0.0,01 to 02,0.00375,0.007109393663377316,Monday
2016-07-11,16,481,0.55,0.1,0.0,18 to 19,0.02291666666666667,0.03793348488291471,Monday
2016-08-11,10,481,0.8600000000000001,0.09,0.0,09 to 10 ,0.035833333333333335,0.03634576306467678,Thursday
